layer,sentence,pn,split
0,0,684,train
0,0,700,train
0,0,715,train
0,0,768,train
0,0,819,train
0,0,877,train
0,0,960,train
0,0,972,train
0,0,3,train
0,0,18,train
0,0,19,train
0,0,26,train
0,0,37,train
0,0,59,train
0,0,60,train
0,0,62,train
0,0,68,train
0,0,92,train
0,0,119,train
0,0,121,train
0,0,145,train
0,0,156,train
0,0,164,train
0,0,198,train
0,0,199,train
0,0,212,train
0,0,215,train
0,0,271,train
0,0,288,train
0,0,295,train
0,0,309,train
0,0,324,train
0,0,340,train
0,0,375,train
0,0,382,train
0,0,399,train
0,0,408,train
0,0,421,train
0,0,430,train
0,0,451,train
0,0,459,train
0,0,474,train
0,0,479,train
0,0,499,train
0,0,746,test
0,0,804,test
0,0,827,test
0,0,81,test
0,0,277,test
0,0,339,test
0,0,369,test
0,0,371,test
0,0,418,test
0,0,432,test
0,0,440,test
0,1,684,train
0,1,700,train
0,1,715,train
0,1,768,train
0,1,819,train
0,1,877,train
0,1,960,train
0,1,972,train
0,1,3,train
0,1,18,train
0,1,19,train
0,1,26,train
0,1,37,train
0,1,59,train
0,1,60,train
0,1,62,train
0,1,68,train
0,1,92,train
0,1,119,train
0,1,121,train
0,1,145,train
0,1,156,train
0,1,164,train
0,1,198,train
0,1,199,train
0,1,212,train
0,1,215,train
0,1,271,train
0,1,288,train
0,1,295,train
0,1,309,train
0,1,324,train
0,1,340,train
0,1,375,train
0,1,382,train
0,1,399,train
0,1,408,train
0,1,421,train
0,1,430,train
0,1,451,train
0,1,459,train
0,1,474,train
0,1,479,train
0,1,499,train
0,1,746,test
0,1,804,test
0,1,827,test
0,1,81,test
0,1,277,test
0,1,339,test
0,1,369,test
0,1,371,test
0,1,418,test
0,1,432,test
0,1,440,test
0,2,684,train
0,2,700,train
0,2,715,train
0,2,768,train
0,2,819,train
0,2,877,train
0,2,960,train
0,2,972,train
0,2,3,train
0,2,18,train
0,2,19,train
0,2,26,train
0,2,37,train
0,2,59,train
0,2,60,train
0,2,62,train
0,2,68,train
0,2,92,train
0,2,119,train
0,2,121,train
0,2,145,train
0,2,156,train
0,2,164,train
0,2,198,train
0,2,199,train
0,2,212,train
0,2,215,train
0,2,271,train
0,2,288,train
0,2,295,train
0,2,309,train
0,2,324,train
0,2,340,train
0,2,375,train
0,2,382,train
0,2,399,train
0,2,408,train
0,2,421,train
0,2,430,train
0,2,451,train
0,2,459,train
0,2,474,train
0,2,479,train
0,2,499,train
0,2,746,test
0,2,804,test
0,2,827,test
0,2,81,test
0,2,277,test
0,2,339,test
0,2,369,test
0,2,371,test
0,2,418,test
0,2,432,test
0,2,440,test
0,3,684,train
0,3,700,train
0,3,715,train
0,3,768,train
0,3,819,train
0,3,877,train
0,3,960,train
0,3,972,train
0,3,3,train
0,3,18,train
0,3,19,train
0,3,26,train
0,3,37,train
0,3,59,train
0,3,60,train
0,3,62,train
0,3,68,train
0,3,92,train
0,3,119,train
0,3,121,train
0,3,145,train
0,3,156,train
0,3,164,train
0,3,198,train
0,3,199,train
0,3,212,train
0,3,215,train
0,3,271,train
0,3,288,train
0,3,295,train
0,3,309,train
0,3,324,train
0,3,340,train
0,3,375,train
0,3,382,train
0,3,399,train
0,3,408,train
0,3,421,train
0,3,430,train
0,3,451,train
0,3,459,train
0,3,474,train
0,3,479,train
0,3,499,train
0,3,746,test
0,3,804,test
0,3,827,test
0,3,81,test
0,3,277,test
0,3,339,test
0,3,369,test
0,3,371,test
0,3,418,test
0,3,432,test
0,3,440,test
0,4,684,train
0,4,700,train
0,4,715,train
0,4,768,train
0,4,819,train
0,4,877,train
0,4,960,train
0,4,972,train
0,4,3,train
0,4,18,train
0,4,19,train
0,4,26,train
0,4,37,train
0,4,59,train
0,4,60,train
0,4,62,train
0,4,68,train
0,4,92,train
0,4,119,train
0,4,121,train
0,4,145,train
0,4,156,train
0,4,164,train
0,4,198,train
0,4,199,train
0,4,212,train
0,4,215,train
0,4,271,train
0,4,288,train
0,4,295,train
0,4,309,train
0,4,324,train
0,4,340,train
0,4,375,train
0,4,382,train
0,4,399,train
0,4,408,train
0,4,421,train
0,4,430,train
0,4,451,train
0,4,459,train
0,4,474,train
0,4,479,train
0,4,499,train
0,4,746,test
0,4,804,test
0,4,827,test
0,4,81,test
0,4,277,test
0,4,339,test
0,4,369,test
0,4,371,test
0,4,418,test
0,4,432,test
0,4,440,test
0,5,684,train
0,5,700,train
0,5,715,train
0,5,768,train
0,5,819,train
0,5,877,train
0,5,960,train
0,5,972,train
0,5,3,train
0,5,18,train
0,5,19,train
0,5,26,train
0,5,37,train
0,5,59,train
0,5,60,train
0,5,62,train
0,5,68,train
0,5,92,train
0,5,119,train
0,5,121,train
0,5,145,train
0,5,156,train
0,5,164,train
0,5,198,train
0,5,199,train
0,5,212,train
0,5,215,train
0,5,271,train
0,5,288,train
0,5,295,train
0,5,309,train
0,5,324,train
0,5,340,train
0,5,375,train
0,5,382,train
0,5,399,train
0,5,408,train
0,5,421,train
0,5,430,train
0,5,451,train
